data,origem,familia_caixa,modelo_caixa_previsao,quantidade_caixas,numero_dia_semana,dia_semana
2025-11-05,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-11-06,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-11-07,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-11-08,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-11-10,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,0,segunda-feira
2025-11-11,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,1,terça-feira
2025-11-12,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-11-13,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-11-14,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-11-15,TREB. MINAS,IFCO,NAO_INFORMADO,1.0,5,sábado
2025-11-17,TREB. MINAS,IFCO,NAO_INFORMADO,1.0,0,segunda-feira
2025-11-18,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,1,terça-feira
2025-11-19,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-11-20,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-11-21,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-11-22,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-11-24,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,0,segunda-feira
2025-11-25,TREB. MINAS,IFCO,NAO_INFORMADO,8.33333333333333,1,terça-feira
2025-11-26,TREB. MINAS,IFCO,NAO_INFORMADO,1.0,2,quarta-feira
2025-11-27,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-11-28,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-11-29,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-12-01,TREB. MINAS,IFCO,NAO_INFORMADO,1.0,0,segunda-feira
2025-12-02,TREB. MINAS,IFCO,NAO_INFORMADO,2.0,1,terça-feira
2025-12-03,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-12-04,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-12-05,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-12-06,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-12-08,TREB. MINAS,IFCO,NAO_INFORMADO,3.0,0,segunda-feira
2025-12-09,TREB. MINAS,IFCO,NAO_INFORMADO,1.0,1,terça-feira
2025-12-10,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-12-11,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-12-12,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-12-13,TREB. MINAS,IFCO,NAO_INFORMADO,6.0,5,sábado
2025-12-15,TREB. MINAS,IFCO,NAO_INFORMADO,7.0,0,segunda-feira
2025-12-16,TREB. MINAS,IFCO,NAO_INFORMADO,2.0,1,terça-feira
2025-12-17,TREB. MINAS,IFCO,NAO_INFORMADO,1.0,2,quarta-feira
2025-12-18,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-12-19,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-12-20,TREB. MINAS,IFCO,NAO_INFORMADO,1.0,5,sábado
2025-12-22,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,0,segunda-feira
2025-12-23,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,1,terça-feira
2025-12-24,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-12-25,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-12-26,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-12-27,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-12-29,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,0,segunda-feira
2025-12-30,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,1,terça-feira
2025-12-31,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2026-01-01,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2026-01-02,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2026-01-03,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2026-01-05,TREB. MINAS,IFCO,NAO_INFORMADO,2.0,0,segunda-feira
2026-01-06,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,1,terça-feira
2026-01-07,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2026-01-08,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
